image_id,image_dir,x1,y1,x2,y2,class
img000031_16,aral,565,587,606,608,0
img000031_16,aral,682,722,701,746,0
img000142_16,aral,65,53,114,81,0
img000088_16,aral,293,387,427,555,0
img000088_16,aral,319,103,360,123,0
img000071_16,aral,92,216,170,295,0
img000091_16,aral,179,156,235,187,0
img000091_16,aral,166,571,322,781,0
img000021_16,aral,16,35,84,97,0
img000021_16,aral,49,145,72,169,0
img000093_16,aral,198,105,293,139,0
img000093_16,aral,199,318,297,416,0
img000044_16,aral,259,241,354,334,0
img000007_16,aral,75,205,100,230,0
img000007_16,aral,271,5,375,123,0
img000007_16,aral,539,129,584,175,0
img000007_16,aral,127,336,134,343,0
img000064_16,aral,706,449,751,478,0
img000064_16,aral,1423,53,1566,263,0
img000064_16,aral,866,725,888,751,0
img000014_16,aral,282,288,323,306,0
img000014_16,aral,146,540,171,585,0
img000014_16,aral,447,569,467,601,0
img000014_16,aral,1198,563,1239,605,0
img000014_16,aral,1093,768,1124,781,0
img000045_16,aral,1389,39,1510,157,0
img000045_16,aral,1453,238,1528,315,0
img000045_16,aral,184,405,214,440,0
img000045_16,aral,650,508,672,529,0
img000045_16,aral,998,513,1014,539,0
img000045_16,aral,167,577,181,591,0
img000022_16,aral,1043,233,1137,336,0
img000022_16,aral,394,478,423,525,0
img000022_16,aral,735,542,760,577,0
img000022_16,aral,901,571,918,596,0
img000022_16,aral,990,589,1010,608,0
img000022_16,aral,1272,604,1297,636,0
img000006_16,aral,546,8,755,248,0
img000006_16,aral,1095,265,1181,356,0
img000006_16,aral,152,412,203,469,0
img000006_16,aral,259,682,273,697,0
img000083_16,aral,198,24,243,46,0
img000083_16,aral,678,131,715,163,0
img000083_16,aral,327,249,346,273,0
img000083_16,aral,387,158,403,179,0
img000083_16,aral,660,231,676,251,0
img000083_16,aral,611,223,625,237,0
img000060_16,aral,5,184,56,247,0
img000060_16,aral,39,313,54,323,0
img000060_16,aral,42,261,54,275,0
img000060_16,aral,320,231,341,248,0
img000126_16,aral,352,115,382,132,0
img000063_16,aral,67,232,100,283,0
img000063_16,aral,112,275,130,297,0
img000063_16,aral,807,264,878,335,0
img000063_16,aral,732,3,779,50,0
img000000_16,aral,332,600,366,633,0
img000000_16,aral,739,716,762,740,0
img000000_16,aral,1128,727,1157,761,0
img000000_16,aral,1705,52,1908,234,0
img000000_16,aral,1886,539,1941,585,0
img000115_16,aral,49,152,103,221,0
img000115_16,aral,91,68,116,98,0
img000105_16,aral,7,58,27,69,0
img000105_16,aral,15,126,55,169,0
img000090_16,aral,105,65,151,83,0
img000090_16,aral,87,307,207,425,0
img000134_16,aral,20,33,674,642,0
img000059_16,aral,133,159,184,199,0
img000005_16,aral,86,46,119,67,0
img000005_16,aral,202,247,216,265,0
img000056_16,aral,3491,116,3922,533,0
img000056_16,aral,1497,1666,1591,1728,0
img000056_16,aral,2794,2041,2872,2105,0
img000056_16,aral,1086,2103,1136,2133,0
img000056_16,aral,1847,2108,1886,2144,0
img000056_16,aral,1144,1533,1205,1655,0
img000108_16,aral,304,295,328,327,0
img000078_16,aral,264,214,281,227,0
img000075_16,aral,507,373,530,403,0
img000113_16,aral,263,543,351,635,0
img000367_107,volkswagen,784,180,826,225,0
img000750_107,volkswagen,586,264,610,304,0
img000605_107,volkswagen,592,275,623,310,0
img000026_107,volkswagen,334,226,367,255,0
img000382_107,volkswagen,443,323,464,343,0
img000382_107,volkswagen,114,284,140,314,0
img000373_107,volkswagen,554,181,590,204,0
img000373_107,volkswagen,175,250,191,269,0
img000497_107,volkswagen,1210,864,1228,887,0
img000497_107,volkswagen,1746,596,1785,643,0
img000497_107,volkswagen,585,743,605,765,0
img000319_107,volkswagen,523,83,619,260,0
img000338_107,volkswagen,435,229,461,251,0
img000246_107,volkswagen,322,677,413,777,0
img000246_107,volkswagen,1144,941,1186,987,0
img000246_107,volkswagen,1938,803,1958,835,0
img000815_107,volkswagen,645,229,749,266,0
img000815_107,volkswagen,978,483,987,496,0
img000815_107,volkswagen,1118,473,1126,482,0
img000086_107,volkswagen,508,188,527,210,0
img000086_107,volkswagen,523,383,545,401,0
img000585_107,volkswagen,704,344,734,385,0
img000585_107,volkswagen,573,291,770,342,0
img000585_107,volkswagen,525,267,723,307,0
img000585_107,volkswagen,482,404,542,428,0
img000585_107,volkswagen,182,292,225,402,0
img000585_107,volkswagen,357,157,510,170,0
img000199_107,volkswagen,512,1060,610,1194,0
img000199_107,volkswagen,1624,1443,1660,1498,0
img000199_107,volkswagen,2705,1359,2728,1401,0
img000378_107,volkswagen,163,140,355,329,0
img000459_107,volkswagen,129,250,158,281,0
img000307_107,volkswagen,577,167,721,312,0
img000500_107,volkswagen,206,158,223,174,0
img000791_107,volkswagen,520,233,619,265,0
img000261_107,volkswagen,231,269,274,311,0
img000340_107,volkswagen,272,168,300,196,0
img000634_107,volkswagen,335,7,388,64,0
img000809_107,volkswagen,584,230,624,272,0
img000809_107,volkswagen,956,88,1061,188,0
img000809_107,volkswagen,937,216,1072,241,0
img000650_107,volkswagen,305,8,337,38,0
img000812_107,volkswagen,468,317,509,385,0
img000507_107,volkswagen,366,565,399,607,0
img000726_107,volkswagen,3080,1456,3187,1616,0
img000594_107,volkswagen,857,562,888,593,0
img000221_107,volkswagen,313,113,490,277,0
img000236_107,volkswagen,494,249,525,282,0
img000236_107,volkswagen,945,253,966,275,0
img000550_107,volkswagen,924,341,992,414,0
img000550_107,volkswagen,554,570,586,624,0
img000550_107,volkswagen,88,415,110,453,0
img000278_107,volkswagen,172,2,509,338,0
img000191_107,volkswagen,254,203,868,853,0
img000411_107,volkswagen,733,37,812,88,0
img000651_107,volkswagen,453,136,640,292,0
img000802_107,volkswagen,957,215,1086,240,0
img000802_107,volkswagen,978,94,1074,187,0
img000247_107,volkswagen,342,278,383,321,0
img000306_107,volkswagen,679,58,771,160,0
img000306_107,volkswagen,73,320,131,391,0
img000592_107,volkswagen,123,203,142,226,0
img000283_107,volkswagen,175,5,616,416,0
img000384_107,volkswagen,472,192,490,209,0
img000384_107,volkswagen,145,196,162,213,0
img000384_107,volkswagen,800,190,813,205,0
img000384_107,volkswagen,116,432,180,447,0
img000641_107,volkswagen,101,45,137,83,0
img000370_107,volkswagen,88,154,108,178,0
img000392_107,volkswagen,291,204,338,244,0
img000252_107,volkswagen,118,251,138,276,0
img000243_107,volkswagen,462,186,745,461,0
img000029_107,volkswagen,161,27,437,179,0
img000754_107,volkswagen,259,430,306,473,0
img000042_107,volkswagen,308,387,341,422,0
img000042_107,volkswagen,185,262,202,272,0
img000042_107,volkswagen,283,241,298,251,0
img000042_107,volkswagen,854,260,866,268,0
img000042_107,volkswagen,533,488,551,518,0
img000042_107,volkswagen,814,467,827,497,0
img000042_107,volkswagen,173,324,186,334,0
img000442_107,volkswagen,154,192,175,219,0
img000442_107,volkswagen,224,298,308,317,0
img000715_107,volkswagen,592,29,627,66,0
img000715_107,volkswagen,702,354,734,383,0
img000715_107,volkswagen,630,35,672,50,0
img000686_107,volkswagen,143,79,154,102,0
img000679_107,volkswagen,368,22,501,50,0
img000079_107,volkswagen,636,513,661,542,0
img000079_107,volkswagen,1078,72,1164,147,0
img000079_107,volkswagen,796,249,909,276,0
img000817_107,volkswagen,263,200,294,230,0
img000265_107,volkswagen,924,290,956,319,0
img000265_107,volkswagen,294,295,349,309,0
img000265_107,volkswagen,259,345,300,360,0
img000265_107,volkswagen,29,231,60,244,0
img000265_107,volkswagen,745,340,814,355,0
img000265_107,volkswagen,1067,334,1105,350,0
img000265_107,volkswagen,692,141,770,164,0
img000265_107,volkswagen,934,53,969,67,0
img000265_107,volkswagen,293,127,367,145,0
img000265_107,volkswagen,272,133,289,144,0
img000265_107,volkswagen,666,151,688,164,0
img000633_107,volkswagen,363,268,396,325,0
img000633_107,volkswagen,866,331,887,375,0
img000358_107,volkswagen,458,231,642,417,0
img000282_107,volkswagen,747,308,1087,644,0
img000407_107,volkswagen,288,228,309,249,0
img000456_107,volkswagen,409,238,426,262,0
img000565_107,volkswagen,499,147,572,228,0
img000565_107,volkswagen,527,514,544,530,0
img000810_107,volkswagen,201,206,246,250,0
img000617_107,volkswagen,670,606,717,660,0
img000617_107,volkswagen,431,726,453,763,0
img000617_107,volkswagen,90,712,108,741,0
img000210_107,volkswagen,69,118,87,137,0
img000388_107,volkswagen,116,218,144,245,0
img000388_107,volkswagen,352,303,377,332,0
img000388_107,volkswagen,589,288,602,311,0
img000666_107,volkswagen,296,285,388,379,0
img000558_107,volkswagen,40,248,197,368,0
img000558_107,volkswagen,1017,262,1027,286,0
img000558_107,volkswagen,626,419,640,437,0
img000664_107,volkswagen,211,92,298,205,0
img000775_107,volkswagen,204,239,329,364,0
img000775_107,volkswagen,707,406,715,426,0
img000704_107,volkswagen,688,282,717,361,0
img000449_107,volkswagen,411,158,438,181,0
img000455_107,volkswagen,357,176,389,211,0
img000557_107,volkswagen,505,64,566,121,0
img000368_107,volkswagen,10,84,250,377,0
img000625_107,volkswagen,110,161,217,283,0
img000625_107,volkswagen,710,251,763,310,0
img000625_107,volkswagen,654,302,690,350,0
img000625_107,volkswagen,539,282,582,327,0
img000625_107,volkswagen,531,325,594,346,0
img000625_107,volkswagen,498,361,545,379,0
img000625_107,volkswagen,490,336,539,362,0
img000475_107,volkswagen,151,231,175,255,0
img000731_107,volkswagen,96,240,117,264,0
img000618_107,volkswagen,699,615,806,677,0
img000618_107,volkswagen,1092,64,1145,155,0
img000618_107,volkswagen,566,82,678,216,0
img000563_107,volkswagen,676,507,748,584,0
img000563_107,volkswagen,1192,302,1219,332,0
img000563_107,volkswagen,974,16,1033,76,0
img000563_107,volkswagen,830,151,855,176,0
img000428_107,volkswagen,504,179,770,433,0
img000564_107,volkswagen,647,247,691,301,0
img000197_107,volkswagen,228,28,422,217,0
img000480_107,volkswagen,152,140,235,198,0
img000405_107,volkswagen,222,169,246,191,0
img000607_107,volkswagen,975,414,1021,486,0
img000607_107,volkswagen,37,179,59,201,0
img000607_107,volkswagen,1051,156,1072,182,0
img000353_107,volkswagen,300,246,316,263,0
img000486_107,volkswagen,456,247,483,273,0
img000479_107,volkswagen,203,182,242,219,0
img000630_107,volkswagen,435,48,507,143,0
img000213_107,volkswagen,258,295,313,350,0
img000213_107,volkswagen,692,509,712,536,0
img000395_107,volkswagen,524,234,549,260,0
img000647_107,volkswagen,499,135,542,253,0
img000647_107,volkswagen,194,57,283,229,0
img000647_107,volkswagen,877,537,891,550,0
img000152_107,volkswagen,1927,1054,2011,1131,0
img000494_107,volkswagen,146,233,174,263,0
img000359_107,volkswagen,1219,410,1250,434,0
img000359_107,volkswagen,942,554,956,574,0
img000359_107,volkswagen,644,556,659,572,0
img000403_107,volkswagen,90,26,226,122,0
img000403_107,volkswagen,412,261,496,294,0
img000640_107,volkswagen,381,97,453,241,0
img000593_107,volkswagen,525,461,552,489,0
img000593_107,volkswagen,16,201,44,226,0
img000593_107,volkswagen,744,250,759,268,0
img000593_107,volkswagen,934,372,947,386,0
img000321_107,volkswagen,240,188,263,220,0
img000321_107,volkswagen,480,41,512,72,0
img000383_107,volkswagen,515,199,571,259,0
img000383_107,volkswagen,334,393,691,508,0
img000205_107,volkswagen,202,154,336,281,0
img000469_107,volkswagen,109,211,139,221,0
img000469_107,volkswagen,277,207,291,222,0
img000469_107,volkswagen,421,198,457,207,0
img000072_107,volkswagen,350,344,381,366,0
img000760_107,volkswagen,254,116,277,157,0
img000760_107,volkswagen,157,118,169,143,0
img000234_107,volkswagen,49,53,318,292,0
img000234_107,volkswagen,398,70,517,138,0
img000173_107,volkswagen,369,332,389,350,0
img000474_107,volkswagen,305,147,323,172,0
img000256_107,volkswagen,172,37,428,186,0
img000217_107,volkswagen,291,183,313,206,0
img000551_107,volkswagen,322,484,385,553,0
img000551_107,volkswagen,856,674,882,702,0
img000196_107,volkswagen,65,115,82,135,0
img000778_107,volkswagen,68,1,101,46,0
img000688_107,volkswagen,111,27,154,66,0
img000386_107,volkswagen,178,241,211,274,0
img000782_107,volkswagen,265,141,295,169,0
img000690_107,volkswagen,360,77,640,389,0
img000690_107,volkswagen,752,334,774,358,0
img000365_107,volkswagen,480,255,502,278,0
img000498_107,volkswagen,11,18,343,303,0
img000823_107,volkswagen,164,21,512,140,0
img000823_107,volkswagen,52,3,134,161,0
img000612_107,volkswagen,757,453,841,522,0
img000223_107,volkswagen,175,1,535,326,0
img000657_107,volkswagen,442,58,468,95,0
img000657_107,volkswagen,345,71,364,103,0
img000657_107,volkswagen,267,91,280,115,0
img000657_107,volkswagen,193,107,215,130,0
img000657_107,volkswagen,9,238,26,256,0
img000657_107,volkswagen,703,166,737,205,0
img000657_107,volkswagen,225,242,270,253,0
img000356_107,volkswagen,633,200,653,224,0
img000356_107,volkswagen,451,262,463,274,0
img000735_107,volkswagen,553,51,690,186,0
img000714_107,volkswagen,245,216,284,258,0
img000714_107,volkswagen,758,83,824,177,0
img000310_107,volkswagen,106,171,124,189,0
img000434_107,volkswagen,250,148,298,185,0
img000434_107,volkswagen,161,370,180,387,0
img000481_107,volkswagen,707,166,746,203,0
img000795_107,volkswagen,154,183,180,210,0
img000360_107,volkswagen,459,440,537,515,0
img000445_107,volkswagen,599,210,627,237,0
img000273_107,volkswagen,111,126,130,148,0
img000422_107,volkswagen,258,188,336,271,0
img000022_107,volkswagen,4,49,25,74,0
img000022_107,volkswagen,192,164,204,180,0
img000400_107,volkswagen,559,161,573,183,0
img000483_107,volkswagen,295,102,367,169,0
img000780_107,volkswagen,79,265,94,287,0
img000472_107,volkswagen,346,113,672,544,0
img000755_107,volkswagen,376,146,405,176,0
img000027_107,volkswagen,145,144,164,160,0
img000597_107,volkswagen,192,560,300,661,0
img000597_107,volkswagen,68,299,481,399,0
img000582_107,volkswagen,619,293,642,318,0
img000216_107,volkswagen,276,42,467,225,0
img000595_107,volkswagen,886,279,953,322,0
img000821_107,volkswagen,595,304,636,352,0
img000429_107,volkswagen,60,140,80,160,0
img000312_107,volkswagen,231,4,669,420,0
img000185_107,volkswagen,75,138,99,173,0
img000724_107,volkswagen,233,4,252,36,0
img000433_107,volkswagen,275,194,294,224,0
img000433_107,volkswagen,174,153,186,169,0
img000201_107,volkswagen,356,650,440,731,0
img000201_107,volkswagen,1156,922,1196,973,0
img000201_107,volkswagen,1936,794,1957,831,0
img000554_107,volkswagen,457,178,481,204,0
img000554_107,volkswagen,470,80,488,116,0
img000554_107,volkswagen,614,198,631,215,0
img000554_107,volkswagen,281,205,294,221,0
img000554_107,volkswagen,508,212,519,225,0
img000415_107,volkswagen,377,551,422,604,0
img000415_107,volkswagen,1209,970,1244,1018,0
img000415_107,volkswagen,1861,916,1896,950,0
img000418_107,volkswagen,601,197,639,229,0
img000418_107,volkswagen,299,307,315,328,0
img000438_107,volkswagen,77,11,714,256,0
img000430_107,volkswagen,13,14,331,320,0
img000430_107,volkswagen,415,1,834,267,0
img000646_107,volkswagen,617,415,667,471,0
img000171_107,volkswagen,330,220,374,262,0
img000568_107,volkswagen,219,262,238,284,0
img000568_107,volkswagen,215,32,286,106,0
img000530_107,volkswagen,427,94,737,453,0
img000462_107,volkswagen,128,344,457,428,0
img000462_107,volkswagen,140,75,383,314,0
img000042_31,berthawatches,284,226,324,241,0
img000065_31,berthawatches,235,136,261,169,0
img000065_31,berthawatches,227,319,240,356,0
img000065_31,berthawatches,372,196,398,228,0
img000015_31,berthawatches,283,246,312,256,0
img000088_31,berthawatches,74,93,106,105,0
img000088_31,berthawatches,261,35,290,53,0
img000034_31,berthawatches,98,88,126,96,0
img000037_31,berthawatches,172,327,212,348,0
img000037_31,berthawatches,361,274,386,284,0
img000037_31,berthawatches,544,143,577,162,0
img000098_31,berthawatches,127,128,179,145,0
img000017_31,berthawatches,1196,290,1254,400,0
img000104_31,berthawatches,230,168,281,190,0
img000104_31,berthawatches,537,74,587,100,0
img000101_31,berthawatches,150,175,202,192,0
img000021_31,berthawatches,300,283,381,307,0
img000013_31,berthawatches,423,309,480,328,0
img000097_31,berthawatches,235,195,280,205,0
img000049_31,berthawatches,94,89,128,100,0
img000055_31,berthawatches,368,544,421,576,0
img000055_31,berthawatches,688,259,742,289,0
img000031_31,berthawatches,376,202,419,229,0
img000031_31,berthawatches,200,229,226,248,0
img000014_31,berthawatches,217,115,251,127,0
img000014_31,berthawatches,36,156,56,164,0
img000023_31,berthawatches,251,316,294,340,0
img000023_31,berthawatches,551,194,622,227,0
img000026_31,berthawatches,338,269,393,288,0
img000082_31,berthawatches,101,163,154,180,0
img000063_31,berthawatches,256,140,345,165,0
img000053_31,berthawatches,94,94,129,105,0
img000069_104,UPS,203,108,246,199,0
img000048_104,UPS,259,165,308,220,0
img000055_104,UPS,466,247,533,339,0
img000079_104,UPS,375,91,391,139,0
img000013_104,UPS,119,95,150,154,0
img000001_104,UPS,300,236,351,313,0
img000039_104,UPS,379,451,403,486,0
img000039_104,UPS,253,282,272,304,0
img000039_104,UPS,92,197,112,224,0
img000136_104,UPS,854,142,973,322,0
img000144_104,UPS,177,109,306,245,0
img000097_104,UPS,243,176,297,242,0
img000097_104,UPS,78,113,166,148,0
img000003_104,UPS,557,328,668,538,0
img000037_104,UPS,466,200,497,255,0
img000026_104,UPS,237,87,250,134,0
img000138_104,UPS,192,488,214,511,0
img000138_104,UPS,195,557,214,579,0
img000076_104,UPS,294,230,343,285,0
img000004_104,UPS,539,147,576,197,0
img000114_104,UPS,672,251,809,349,0
img000114_104,UPS,456,220,489,240,0
img000114_104,UPS,396,402,458,447,0
img000081_104,UPS,408,188,441,229,0
img000065_104,UPS,602,262,665,320,0
img000052_104,UPS,193,139,223,206,0
img000052_104,UPS,197,240,225,268,0
img000051_104,UPS,162,161,188,210,0
img000051_104,UPS,681,273,695,284,0
img000090_104,UPS,223,119,260,175,0
img000032_104,UPS,345,182,453,275,0
img000032_104,UPS,503,233,535,307,0
img000032_104,UPS,132,109,236,221,0
img000032_104,UPS,203,134,251,217,0
img000147_104,UPS,299,183,390,293,0
img000147_104,UPS,721,152,842,295,0
img000147_104,UPS,90,336,120,368,0
img000147_104,UPS,2,320,21,342,0
img000135_104,UPS,253,102,269,122,0
img000033_104,UPS,220,216,252,251,0
img000024_104,UPS,440,79,491,145,0
img000146_104,UPS,259,75,295,130,0
img000056_104,UPS,321,161,345,209,0
img000131_104,UPS,242,200,289,254,0
img000012_104,UPS,590,220,663,336,0
img000068_104,UPS,9,72,82,162,0
img000028_104,UPS,353,67,378,108,0
img000009_104,UPS,346,134,380,180,0
img000107_104,UPS,178,73,233,165,0
img000107_104,UPS,352,140,368,157,0
img000050_104,UPS,957,516,1002,602,0
img000050_104,UPS,796,241,894,319,0
img000050_104,UPS,1262,441,1300,593,0
img000030_104,UPS,324,198,351,236,0
img000030_104,UPS,101,295,111,314,0
img000045_104,UPS,98,102,177,210,0
img000045_104,UPS,395,220,428,256,0
img000129_104,UPS,411,97,546,337,0
img000082_104,UPS,259,137,279,162,0
img000092_104,UPS,318,153,360,211,0
img000018_104,UPS,290,143,337,197,0
img000154_104,UPS,263,169,281,190,0
img000070_104,UPS,343,215,394,271,0
img000070_104,UPS,418,224,443,239,0
img000128_104,UPS,331,1,573,363,0
img000075_104,UPS,173,42,206,70,0
img000075_104,UPS,139,131,152,154,0
img000044_104,UPS,362,65,386,111,0
img000044_104,UPS,18,192,32,220,0
img000084_104,UPS,234,131,287,206,0
img000043_104,UPS,72,120,93,162,0
img000043_104,UPS,350,123,370,167,0
img000079_14,ape,413,99,430,131,0
img000013_14,ape,121,417,148,478,0
img000062_14,ape,161,352,193,416,0
img000062_14,ape,399,450,438,472,0
img000097_14,ape,65,178,85,216,0
img000043_14,ape,163,258,187,314,0
img000043_14,ape,3,2,43,76,0
img000015_14,ape,289,329,310,387,0
img000080_14,ape,386,390,425,457,0
img000060_85,Pampers,284,48,384,116,0
img000060_85,Pampers,312,239,405,293,0
img000060_85,Pampers,117,196,216,254,0
img000060_85,Pampers,481,266,533,295,0
img000060_85,Pampers,471,376,522,404,0
img000054_85,Pampers,898,384,1482,793,0
img000054_85,Pampers,142,463,311,793,0
img000054_85,Pampers,1100,1236,1178,1311,0
img000054_85,Pampers,237,1248,258,1298,0
img000054_85,Pampers,530,113,962,160,0
img000205_85,Pampers,207,159,388,266,0
img000205_85,Pampers,717,118,950,239,0
img000146_85,Pampers,187,293,275,341,0
img000146_85,Pampers,231,134,318,180,0
img000146_85,Pampers,688,106,881,230,0
img000146_85,Pampers,642,607,842,733,0
img000146_85,Pampers,91,571,248,669,0
img000146_85,Pampers,77,856,138,914,0
img000146_85,Pampers,37,797,71,880,0
img000146_85,Pampers,674,896,710,926,0
img000146_85,Pampers,727,387,760,419,0
img000176_85,Pampers,77,114,225,204,0
img000176_85,Pampers,184,237,221,260,0
img000155_85,Pampers,341,63,762,345,0
img000155_85,Pampers,382,602,477,666,0
img000158_85,Pampers,236,53,307,102,0
img000158_85,Pampers,387,46,465,99,0
img000158_85,Pampers,533,66,640,112,0
img000158_85,Pampers,538,225,641,281,0
img000158_85,Pampers,382,224,459,265,0
img000158_85,Pampers,244,205,309,251,0
img000158_85,Pampers,147,188,204,230,0
img000158_85,Pampers,50,187,101,229,0
img000158_85,Pampers,55,366,115,394,0
img000158_85,Pampers,500,158,520,176,0
img000158_85,Pampers,499,329,517,348,0
img000158_85,Pampers,339,156,356,174,0
img000158_85,Pampers,223,153,236,169,0
img000158_85,Pampers,339,308,354,325,0
img000158_85,Pampers,231,282,242,299,0
img000158_85,Pampers,117,151,130,165,0
img000158_85,Pampers,141,60,200,106,0
img000158_85,Pampers,43,72,93,113,0
img000158_85,Pampers,125,269,136,284,0
img000158_85,Pampers,293,1,312,35,0
img000158_85,Pampers,678,177,709,190,0
img000158_85,Pampers,26,258,41,273,0
img000158_85,Pampers,681,354,710,373,0
img000183_85,Pampers,319,124,457,205,0
img000183_85,Pampers,331,1,393,21,0
img000183_85,Pampers,180,1,256,19,0
img000183_85,Pampers,447,1,526,17,0
img000183_85,Pampers,578,1,657,14,0
img000183_85,Pampers,118,160,200,198,0
img000183_85,Pampers,114,339,166,364,0
img000183_85,Pampers,1,327,39,354,0
img000183_85,Pampers,39,175,111,193,0
img000209_85,Pampers,22,24,83,59,0
img000209_85,Pampers,31,174,93,212,0
img000209_85,Pampers,164,1,224,39,0
img000209_85,Pampers,169,143,229,186,0
img000209_85,Pampers,318,50,356,73,0
img000209_85,Pampers,319,177,360,197,0
img000209_85,Pampers,442,91,475,111,0
img000209_85,Pampers,438,176,473,205,0
img000209_85,Pampers,509,171,540,192,0
img000209_85,Pampers,514,62,545,92,0
img000209_85,Pampers,570,69,599,93,0
img000209_85,Pampers,573,162,602,186,0
img000209_85,Pampers,640,96,664,119,0
img000209_85,Pampers,632,171,657,194,0
img000209_85,Pampers,680,76,703,95,0
img000209_85,Pampers,678,157,701,175,0
img000209_85,Pampers,687,288,709,302,0
img000209_85,Pampers,680,370,706,388,0
img000209_85,Pampers,674,445,700,469,0
img000209_85,Pampers,631,458,657,484,0
img000209_85,Pampers,636,369,662,395,0
img000209_85,Pampers,560,465,590,493,0
img000209_85,Pampers,505,481,538,515,0
img000209_85,Pampers,506,355,540,387,0
img000209_85,Pampers,429,447,466,483,0
img000209_85,Pampers,425,542,461,581,0
img000209_85,Pampers,400,324,431,345,0
img000209_85,Pampers,716,184,733,199,0
img000209_85,Pampers,833,257,852,274,0
img000209_85,Pampers,793,358,812,371,0
img000209_85,Pampers,778,415,798,436,0
img000209_85,Pampers,778,162,797,179,0
img000209_85,Pampers,780,102,800,119,0
img000209_85,Pampers,823,81,840,98,0
img000209_85,Pampers,814,155,833,168,0
img000209_85,Pampers,324,445,368,475,0
img000209_85,Pampers,326,562,370,595,0
img000209_85,Pampers,225,427,275,471,0
img000209_85,Pampers,237,577,288,624,0
img000209_85,Pampers,70,618,142,679,0
img000209_85,Pampers,66,460,140,515,0
img000062_85,Pampers,113,21,299,130,0
img000062_85,Pampers,501,396,575,435,0
img000117_85,Pampers,478,259,900,545,0
img000117_85,Pampers,786,653,895,724,0
img000109_85,Pampers,115,154,226,222,0
img000109_85,Pampers,362,324,399,349,0
img000109_85,Pampers,71,132,148,143,0
img000200_85,Pampers,86,76,181,133,0
img000052_85,Pampers,221,52,304,100,0
img000067_85,Pampers,245,501,783,836,0
img000126_85,Pampers,189,434,600,695,0
img000126_85,Pampers,526,882,634,948,0
img000046_85,Pampers,78,102,182,171,0
img000046_85,Pampers,153,195,182,213,0
img000016_85,Pampers,600,695,908,879,0
img000016_85,Pampers,190,635,352,734,0
img000016_85,Pampers,159,584,226,598,0
img000131_85,Pampers,90,83,322,228,0
img000141_85,Pampers,417,52,484,92,0
img000141_85,Pampers,694,48,750,93,0
img000141_85,Pampers,77,219,95,269,0
img000058_85,Pampers,150,176,290,263,0
img000058_85,Pampers,267,297,307,321,0
img000211_85,Pampers,169,170,281,227,0
img000211_85,Pampers,258,259,291,275,0
img000038_85,Pampers,193,73,250,107,0
